"Year","Survey","Quarter","HaulLat","HaulLong","Depth"
1997,"EVHOE",4,49,-9,150
1998,"EVHOE",4,49,-9,150
1999,"EVHOE",4,49,-9,150
2000,"EVHOE",4,49,-9,150
2001,"EVHOE",4,49,-9,150
2002,"EVHOE",4,49,-9,150
2003,"EVHOE",4,49,-9,150
2004,"EVHOE",4,49,-9,150
2005,"EVHOE",4,49,-9,150
2006,"EVHOE",4,49,-9,150
2007,"EVHOE",4,49,-9,150
2008,"EVHOE",4,49,-9,150
2009,"EVHOE",4,49,-9,150
2010,"EVHOE",4,49,-9,150
2011,"EVHOE",4,49,-9,150
2012,"EVHOE",4,49,-9,150
2013,"EVHOE",4,49,-9,150
2014,"EVHOE",4,49,-9,150
2015,"EVHOE",4,49,-9,150
2016,"EVHOE",4,49,-9,150
2017,"EVHOE",4,49,-9,150
2018,"EVHOE",4,49,-9,150
2019,"EVHOE",4,49,-9,150
